"","w_I","w_O","b_IO","b_OI","b_O","t"
"Raúl Eduardo Saavedra Leterni ",-0.3,-0.69,1.24,-0.44,0,-0.26
"Raúl Gorrín Belisario ",12.85,44.89,7.12,90.3,0,47.74
"Raúl Isaías Baduel ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Raúl Morodo Leoncio ",-0.69,-0.3,-0.44,1.24,0,-0.26
"Real State consultant Clab ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Recreational Club of the National Oil,  Petrochemical and Coal Industry  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Red Bouquet Foundation ",0.1,-0.3,-0.44,-0.44,0,-0.26
"Red Tv ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Refinería del Pacífico  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Reinaldo Enrique Muñoz Pedroza ",-0.3,5.67,-0.44,0.4,0,3.9
"Reinaldo Luis Ramíez Carreño ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Remigio Ceballos Ichaso ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Renova Energy  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Republican Ethical  Council ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Retirees and pensioners Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Revolutionary Armed Forces of Colombia  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Riada Rudy Aamer ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ricardo José Rincón Bravo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ricardo Pastor Morón Crespo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ricardo Salgado ",-0.69,-0.3,-0.44,0.4,0,-0.54
"Richard Canan ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Richard López Vargas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Richard Samuel Canán Durán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"RIM Group Investments I Corp ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"RIM Group Investments II Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"RIM Group Investments III Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"RIM Group Investments, Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rio Arriba 6, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rivsa, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Roberto Enrique Rincón Fernández ",6.88,3.47,2.08,11.32,0,9.73
"Roberto Vignati ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Robinson Ruíz Guerrero ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Robles y Robles ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rocco Albisinni Serrano ",0.1,-0.3,-0.44,-0.44,0,-0.26
"Rocío del Valle Maneiro González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rodolfo Clemente Marco Torres ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Rodolfo José Reyes Rojas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rodolfo Wanseele Paciello ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rolando Cabral ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ronald Enrique Marcella García ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Rosa María Morán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rosalin Mogollón Almeida ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rosas y Rosas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Roselbit Susana Mujica Silva ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rosycela Díaz Gil ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rowntree Properties, Inc ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Roy Chaderton Matos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rubén Dario Higuera Olivare ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rubén Darío Santiago Servigna ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Rudy Giuliani ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rugby Z.L,S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rui Manuel Antunes Mão De Ferro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rui Miguel De Oliveira Horta E. Costa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rv Trade Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saab Certain & Compañía ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saab Gruppo Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saafartex InterNational S.A.S. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saafartex S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"SAI Advisors Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saint -Heller ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Saldum Ventures SL ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Salomón Korn Mitrani ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Samark José López Bello ",1.59,48.25,26.45,1.24,0,43.02
"Samuel Gauro ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Samuel Sánchez Boada ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sancor Cooperativas Unidas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sandra Oblitas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sands Quest Computacion, Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sanford Global Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sanros Filho ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sarah Moya ",1.59,-0.69,-0.44,-0.44,0,-0.54
"Scientific, Penal and Criminal investigations Corp . ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Scruton Investment Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sea Side Services Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Seafire Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sectoral General Direction of Intelligence and Prevention Services ,  former intelligence service.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sectoral Vice - Presidency for Social Development and Revolution of Missions  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sectoral Vice - Presidency of Economy ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Security Team of Hugo Chávez Frías ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Seguros Constitución S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sergio Alejandro Silvio Prato ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sergio De La Vega ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sergio Kreutzer ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sergio Rivero Marcano ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sertinsa Holdings S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Service of National Fund for People´s Power  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Servicio Urbano de Procesamiento, Recaudación, Recolección y Aseo Miranda S.A. Supramiranda ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Servicios Tecnológicos Industriales C. A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Seuxis Paucis Hernández Solarte ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Seventh Tribunal of Criminal Guarantees  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"SGO Group Corp  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Shadi Nain Saab Certain ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Shandong Kerui Petroleum Equima Co Ltd ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Shatex ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Shellbill Finance SA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sichuan Changong Network Technologies Co Ltd ",-0.69,-0.3,-0.44,2.92,0,0.29
"Silver Mount Group Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Simón Zerpa Delgado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sinohydro Corporation Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Siul Tucutru, Corp. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"SMT Tecnologia, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Soberón y Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Socialist Corporation of Telecommunications and Postal Services  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sociedad Administradora de Puertos Continental S.R.L.   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sociedad Distribuidora y Comercializadora de Combustibles y Lubricantes ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sociedad Mercantil Almacenes e Hipermercados Éxito C.A ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Societe Carentan S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Societe Castelnau S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Societe Doberan, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Societe Hedisson, S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Societe Hellin, S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Societe Marset, S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Socorro Elizabeth Hernández de Hernández ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sofia Mesquita Carvalho Fava ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Solar Cargo INC.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Solar Cargo, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sometimes, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"South Bank International LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sovereign People Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Spanish Partnership Metro System  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sportex Zona Libre S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Stockwin Enterprises Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Strategy Partners International, Ltd. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Stratus Group ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sucre Briceño & Co ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sucre, Arias & Reyes ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Sucre, Arias, Castro & Reyes ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Suministros Venezolanos Industriales C.A  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Suministros Venezolanos Industriales C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Sunblaze Foundation ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Suntech Solar Haiti, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Superior Court of Accounts  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Supervision, Études, Construction S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Supreme Court of Andorra ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Supreme Court of Justice  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Susana Coromoto Acosta ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Susana Virgina Barreiros Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Svmi Solution, Llc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tania D´Amelio Cardiet  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tania Valentina Díaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tanker Administrators Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tareck Zaidan El Aissami Maddah ",98.1,39.24,65.09,65.93,0,117.37
"Tarek William Saab Halabi ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Tastor Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tecal Trading INC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Techno Energy,S.A. ",-0.69,-0.3,0.4,-0.44,0,-0.54
"Técnicas Reunidas Terca Ca ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Telecomunicaciones Movilnet, C.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Termopuerto Limitada  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Terravías S.R.L. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Tibisay Lucena Ramírez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tierra Fértil Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tindaya Properties Holding USA Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tindaya Properties of New York II Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tindaya Properties of New York, Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tobías Ramírez Urbina ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tomas Alberto Clarke Bethancourt ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tomas Andrea Schwab Romaniuk ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Tovase Development Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tradequip Spain, Inspection and Logistics. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tradex Company S.A., Inc.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trading Energy and Coal  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trafigura Beheer B.V. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trafigura Trading Llc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Transporte Pedro Camejo S.A ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Transportes and Servicios del Caribe TSC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Transportes Herfra S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Transportes Velmont  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Treasury of Criptoactivos de Venezuela, S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Tribunal ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Triplus Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trismas Fundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tristaina Trading S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trocana World Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trolebús Mérida C.A  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Trujillo State Government ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"TRV S.R.L  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tse Arietis ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tsunami Investments, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tu Financiera de RL  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Tucumana Paramerica ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Tulio Anibal Farias Pérez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Union Bank ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Unique Corporation of Production and Food Services  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Unique Social Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Unit 45c Holding, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"United Socialist Party of Venezuela  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Uno Valores Ltd ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Uptown InterNational,S.A . ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vaccaro & Vaccaro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Valentina Veroes ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Valmore Cirilo Torín Ulacio ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Valverde Overseas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vamshore Enterprises Limited ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vassyly Kotosky Villaroel Ramírez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Velox Investmen Service ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Venchicat Capital, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vencon Holding ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vendig Capital S.A.S. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Venedig Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Venezolana de Televisión  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Venezuela´s Ministry of Infrastructure   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Venezuelan Institute of Social Security  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vice - Ministry for the Supreme Socialist People´s Happiness  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vice - Presidency of the Republic ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Víctor Eduardo Aular Blanco ",3.69,5.35,0.4,37.37,0,15.83
"Víctor Fossi Grieco ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Víctor Hugo Cano Pacheco ",-0.3,0.5,-0.44,-0.44,0,0.02
"Victor Hugo Matute López ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Víctor León  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Victor Mones Coro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Víctor Silva Sosa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Victoria Bereziuk ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vida y Patrimonio Corretaje de Seguros C.A.  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vinicio Eusebio Micotti Lanz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vitol Energy  Ltd. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vitol S.A.; Vitol, Inc.; Masefield A.G.; Trafigura A.G. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vives y Asociados ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vizcaya 602, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vladimir Padrino López ",0.9,-0.3,-0.44,-0.44,0,0.29
"Volbqr Vontobel ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Vuelos Económicos Centroamericanos  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Vuelos Económicos Centroamericanos S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"W Altrop Consultants, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wakil Properties, LLC ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Wakilisimo, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Walid Makled García ",20.02,-0.3,16.36,-0.44,0,19.16
"Walter Alexander del Nogal Márquez ",-0.3,-0.69,2.08,-0.44,0,0.02
"Walter Jacob Gavidia Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wang Hong ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wendy Paola Cedeño Lojano ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Wendy´s of Venezuela ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Westshore International Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Whangarei Asset Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"White Eagle Financial Management Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Whiteswan Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wilber Varela ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Will Veloza Valero ",0.1,-0.3,1.24,-0.44,0,0.29
"William Antonio Contreras ",3.29,-0.3,-0.44,-0.44,0,1.96
"William Ojeda ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wilmar Alfredo Castro Soteldo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wilmer José Ruperti Perdomo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wilson Lalea ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Windham Commercial Group Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Winston Jose Velazco Flores ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Wladimir Erlenis Ramos Gómez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Wolfram Kuoni ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Workers Bank  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Worldwide Traders Line, S.A. ",-0.69,-0.3,-0.44,2.08,0,0.02
"Worldwide Wealth Management PCC ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Xabier Anchustegui ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Xavier Antonio Moreno Reandes ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Yakima Oil Trading LLP ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Yakima Trading Corp. ",0.1,-0.3,-0.44,0.4,0,0.02
"Yariela L. Aguilar R. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Yesenia Serret Aponte ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Yosser Gavidia Flores ",1.59,0.9,2.08,0.4,0,1.68
"Yoswal Gavidia Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"YPP Latam Holdings Corp  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"YPP Offshore Holdings Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"YPP Us Holdings Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Yutong Hongkong Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Zaidan Amin El Aissami ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Zeinal Bava ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Zenaida Claret Urbano-Taylor Romero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"ZGR International Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Zigor Corporation SA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Zoitron S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Zulia State Government ",-0.69,-0.3,-0.44,-0.44,0,-0.82
